R,D,NE,HE
R,D,NH1,HH1
R,D,NH2,HH2
N,D,ND2,HD2
N,A,CG,OD1
D,A,CG,OD1
D,A,CG,OD2
Q,D,NE2,HE2
Q,A,CD,OE1
E,A,CD,OE1
E,A,CD,OE2
H,D,ND1,HD1
H,D,NE2,HE2
H,A,ND1,HD1
H,A,NE2,HE2
K,D,NZ,HZ1
K,D,NZ,HZ2
K,D,NZ,HZ3
S,D,OG,HG
S,A,OG,HG
T,D,OG1,HG1
T,A,OG1,HG1
W,D,NE1,HE1
Y,D,OH,HH
Y,A,OH,HH
