R,4,,,,,,,,
tt,49,-172,145,9,9,,,,
mp,63,-85,65,11,14,,,,
mt,1548,-65,175,11,11,,,,
,,,,,,,,,
H,2,,,,,,,,
p-80°,51,62,-75,10,12,,,,
p80°,26,62,80,13,10,,,,
t-160°,31,-177,-165,12,20,,,,
t-80°,64,-177,-80,10,22,,,,
t60°,94,-177,60,13,19,,,,
m-70°,174,-65,-70,11,23,,,,
m170°,44,-65,165,10,16,,,,
m80°,78,-65,80,11,18,,,,
,,,,,,,,,
W,2,,,,,,,,
p-90°,67,62,-90,12,10,,,,
p90°,34,62,90,12,8,,,,
t-105°,100,-177,-105,16,14,,,,
t90°,109,-177,90,10,11,,,,
m-90°,31,-65,-90,9,12,,,,
m0°,48,-65,-5,9,20,,,,
m95°,195,-65,95,11,19,,,,
,,,,,,,,,
Y,2,,,,,,,,
p90°,182,62,90,13,13,,,,
t80°,486,-177,80,11,14,,,,
m-85°,618,-65,-85,11,21,,,,
m -30° ,124,-65,-30,11,18,,,,
,,,,,,,,,
F,2,,,,,,,,
p90°,202,62,90,11,11,,,,
t80°,522,-177,80,13,17,,,,
m-85°,697,-65,-85,12,17,,,,
m-30,149,-65,-30,9,20,,,,
,,,,,,,,,
P,1,,,,,,,,
endo,379,30,7,,,,,,
exo,372,-30,6,,,,,,
Cis endo,56,30,5,,,,,,
,,,,,,,,,
T,1,,,,,,,,
p,1200,62,10,,,,,,
t,169,-175,6,,,,,,
m,1062,-65,7,,,,,,
,,,,,,,,,
V,1,,,,,,,,
p,169,63,8,,,,,,
t,1931,175,8,,,,,,
m,526,-60,7,,,,,,
,,,,,,,,,
S,1,,,,,,,,
p,1201,62,10,,,,,,
t,541,-177,11,,,,,,
m,714,-65,9,,,,,,
,,,,,,,,,
C,1,,,,,,,,
p,64,62,14,,,,,,
t,74,-177,10,,,,,,
m,142,-65,11,,,,,,
